Date,ApparelCPI
1/1/2017,123.088
2/1/2017,126.100
3/1/2017,128.250
4/1/2017,128.349
5/1/2017,126.563
6/1/2017,124.630
7/1/2017,122.485
8/1/2017,124.147
9/1/2017,128.150
10/1/2017,129.570
11/1/2017,125.398
12/1/2017,120.614
1/1/2018,122.266
2/1/2018,126.587
3/1/2018,128.604
4/1/2018,129.365
5/1/2018,128.362
6/1/2018,125.382
7/1/2018,122.831
8/1/2018,122.447
9/1/2018,127.440
10/1/2018,129.108
11/1/2018,124.935
12/1/2018,120.526
1/1/2019,122.422
2/1/2019,125.631
3/1/2019,125.785
4/1/2019,125.542
5/1/2019,124.429
6/1/2019,123.749
7/1/2019,122.161
8/1/2019,123.641
9/1/2019,127.009
10/1/2019,126.154
11/1/2019,122.986
12/1/2019,119.111
1/1/2020,120.853
2/1/2020,124.438
3/1/2020,123.815
4/1/2020,118.394
5/1/2020,114.582
6/1/2020,114.734
7/1/2020,114.267
8/1/2020,116.299
9/1/2020,119.354
10/1/2020,119.172
11/1/2020,116.602
12/1/2020,114.434
1/1/2021,117.785
2/1/2021,119.998
3/1/2021,120.746
4/1/2021,120.656
5/1/2021,120.951
6/1/2021,120.324
7/1/2021,119.078
8/1/2021,121.194
9/1/2021,123.406
10/1/2021,124.323
11/1/2021,122.383
12/1/2021,121.068
